generation,max_fitness,max_percentage,max_dead_time,eval_time
0,0.32312462,0.32312462,1000.0,68.63259768486023
1,0.32312462,0.32312462,1000.0,66.72252607345581
2,0.32312462,0.32312462,1000.0,57.46856904029846
3,0.32312462,0.32312462,1000.0,52.52956938743591
4,0.32312462,0.32312462,1000.0,53.280888080596924
5,0.34121785,0.34121785,1000.0,54.35884737968445
6,0.34858072,0.34858072,1000.0,52.54989957809448
7,0.34858072,0.34858072,1000.0,57.77824568748474
8,0.34858072,0.34858072,1000.0,53.790964126586914
9,0.34858072,0.34858072,1000.0,53.053916215896606
10,0.34858072,0.34858072,1000.0,53.89886546134949
11,0.34858072,0.34858072,1000.0,52.20511746406555
12,0.37240016,0.37240016,1000.0,55.355151414871216
13,0.37240016,0.37240016,1000.0,54.69625973701477
14,0.3730956,0.3730956,1000.0,52.56970405578613
15,0.3730956,0.3730956,1000.0,53.67077589035034
16,0.3730956,0.3730956,1000.0,53.90205788612366
17,0.3730956,0.3730956,1000.0,54.69785976409912
18,0.3730956,0.3730956,1000.0,51.4965500831604
19,0.3730956,0.3730956,1000.0,55.05644631385803
20,0.3730956,0.3730956,1000.0,56.071857929229736
21,0.3730956,0.3730956,1000.0,54.59415602684021
22,0.3730956,0.3730956,1000.0,52.27536916732788
23,0.3730956,0.3730956,1000.0,53.2237663269043
24,0.3748595,0.3748595,1000.0,54.524144887924194
25,0.3748595,0.3748595,1000.0,56.313947916030884
26,0.3748595,0.3748595,1000.0,57.73168206214905
27,0.3748595,0.3748595,1000.0,53.8824417591095
28,0.37566286,0.37566286,1000.0,54.085689306259155
29,0.37566286,0.37566286,1000.0,52.905221462249756
30,0.37566286,0.37566286,1000.0,54.74384832382202
31,0.37566286,0.37566286,1000.0,54.0452561378479
32,0.37566286,0.37566286,1000.0,53.721254110336304
33,0.37566286,0.37566286,1000.0,55.98860788345337
34,0.37566286,0.37566286,1000.0,53.11709785461426
35,0.37566286,0.37566286,1000.0,53.94719934463501
36,0.37566286,0.37566286,1000.0,54.97703170776367
37,0.37566286,0.37566286,1000.0,55.39242124557495
38,0.37566286,0.37566286,1000.0,50.38629221916199
39,0.37566286,0.37566286,1000.0,52.418874979019165
40,0.37566286,0.37566286,1000.0,55.35217308998108
41,0.376607,0.376607,1000.0,56.01969337463379
42,0.37863478,0.37863478,1000.0,52.99071025848389
43,0.37863478,0.37863478,1000.0,50.94783854484558
44,0.37863478,0.37863478,1000.0,53.69682836532593
45,0.37863478,0.37863478,1000.0,52.81045174598694
46,0.37863478,0.37863478,1000.0,54.48531889915466
47,0.37863478,0.37863478,1000.0,51.08164048194885
48,0.37863478,0.37863478,1000.0,54.71821331977844
49,0.37863478,0.37863478,1000.0,54.11810088157654
50,0.37863478,0.37863478,1000.0,53.991575956344604
51,0.37863478,0.37863478,1000.0,53.26595425605774
52,0.37863478,0.37863478,1000.0,53.88358473777771
53,0.37863478,0.37863478,1000.0,54.75458121299744
54,0.37863478,0.37863478,1000.0,51.109209060668945
55,0.37863478,0.37863478,1000.0,55.083070039749146
56,0.37863478,0.37863478,1000.0,55.25033140182495
57,0.37863478,0.37863478,1000.0,56.89691781997681
58,0.37863478,0.37863478,1000.0,55.83427333831787
59,0.37863478,0.37863478,1000.0,57.566389322280884
60,0.37863478,0.37863478,1000.0,56.19325923919678
61,0.37863478,0.37863478,1000.0,55.4640417098999
62,0.37863478,0.37863478,1000.0,53.64919924736023
63,0.37863478,0.37863478,1000.0,54.56330752372742
64,0.37863478,0.37863478,1000.0,55.216689109802246
65,0.37863478,0.37863478,1000.0,52.81564402580261
66,0.37863478,0.37863478,1000.0,53.833316802978516
67,0.37863478,0.37863478,1000.0,49.11937355995178
68,0.37863478,0.37863478,1000.0,52.12868070602417
69,0.37863478,0.37863478,1000.0,51.785656452178955
70,0.37863478,0.37863478,1000.0,49.738540172576904
71,0.37863478,0.37863478,1000.0,55.94943141937256
72,0.37863478,0.37863478,1000.0,59.41931462287903
73,0.37863478,0.37863478,1000.0,61.975794315338135
74,0.37863478,0.37863478,1000.0,56.0239372253418
75,0.37863478,0.37863478,1000.0,57.50123381614685
76,0.37863478,0.37863478,1000.0,55.87145733833313
77,0.37863478,0.37863478,1000.0,56.939717531204224
78,0.37863478,0.37863478,1000.0,54.395673513412476
79,0.37863478,0.37863478,1000.0,56.57290005683899
80,0.37863478,0.37863478,1000.0,56.11208415031433
81,0.37863478,0.37863478,1000.0,54.88387084007263
82,0.3786348,0.3786348,1000.0,55.199827671051025
83,0.3786348,0.3786348,1000.0,55.122565269470215
84,0.3786348,0.3786348,1000.0,57.72143077850342
85,0.3786348,0.3786348,1000.0,56.99143886566162
86,0.3786348,0.3786348,1000.0,53.12487292289734
87,0.3786348,0.3786348,1000.0,56.19201850891113
88,0.37877548,0.37877548,1000.0,50.458380937576294
89,0.37877548,0.37877548,1000.0,53.693918228149414
90,0.37877548,0.37877548,1000.0,54.16518473625183
91,0.37877548,0.37877548,1000.0,53.75472569465637
92,0.37877548,0.37877548,1000.0,52.95205545425415
93,0.37877548,0.37877548,1000.0,53.27004909515381
94,0.37877548,0.37877548,1000.0,53.794480323791504
95,0.37877548,0.37877548,1000.0,52.956151723861694
96,0.37877548,0.37877548,1000.0,54.16290855407715
97,0.37877548,0.37877548,1000.0,54.910076379776
98,0.37877548,0.37877548,1000.0,54.94969153404236
99,0.38109097,0.38109097,1000.0,56.61902213096619
100,0.38109097,0.38109097,1000.0,54.92152667045593
101,0.38109097,0.38109097,1000.0,54.76636743545532
102,0.38109097,0.38109097,1000.0,55.88225269317627
103,0.38109097,0.38109097,1000.0,53.48324227333069
104,0.38109097,0.38109097,1000.0,56.049073934555054
105,0.38109097,0.38109097,1000.0,60.33532667160034
106,0.38109097,0.38109097,1000.0,53.17767310142517
107,0.38109097,0.38109097,1000.0,53.2325496673584
108,0.38109097,0.38109097,1000.0,54.97023010253906
109,0.38109097,0.38109097,1000.0,53.80466365814209
110,0.38109097,0.38109097,1000.0,53.832436323165894
111,0.38109097,0.38109097,1000.0,56.269068241119385
112,0.38109097,0.38109097,1000.0,54.833601236343384
113,0.38109097,0.38109097,1000.0,49.779356956481934
114,0.38109097,0.38109097,1000.0,52.959099769592285
