generation,max_fitness,max_percentage,max_dead_time,eval_time
0,0.041185386,0.041185386,1000.0,66.59750056266785
1,0.044234008,0.044234008,1000.0,65.62050819396973
2,0.051718995,0.051718995,1000.0,59.98404335975647
3,0.3215981,0.3215981,1000.0,51.55861473083496
4,0.3236953,0.3236953,1000.0,50.61660194396973
5,0.3236953,0.3236953,1000.0,51.98483180999756
6,0.3236953,0.3236953,1000.0,53.84701919555664
7,0.34729308,0.34729308,1000.0,54.98463773727417
8,0.34729308,0.34729308,1000.0,53.69938921928406
9,0.34729308,0.34729308,1000.0,57.77385759353638
10,0.34729308,0.34729308,1000.0,58.22211289405823
11,0.34729308,0.34729308,1000.0,56.73824119567871
12,0.3512752,0.3512752,1000.0,57.35666370391846
13,0.3512752,0.3512752,1000.0,55.40695595741272
14,0.35191536,0.35191536,1000.0,56.34833097457886
15,0.35191536,0.35191536,1000.0,56.08331775665283
16,0.35271737,0.35271737,1000.0,52.841124296188354
17,0.35271737,0.35271737,1000.0,57.357879400253296
18,0.35271737,0.35271737,1000.0,56.72984552383423
19,0.35271737,0.35271737,1000.0,58.338650941848755
20,0.35271737,0.35271737,1000.0,57.13741087913513
21,0.35271737,0.35271737,1000.0,53.83259558677673
22,0.35271737,0.35271737,1000.0,53.82509469985962
23,0.35271737,0.35271737,1000.0,52.844040870666504
24,0.35271737,0.35271737,1000.0,50.17433428764343
25,0.35271737,0.35271737,1000.0,53.210572719573975
26,0.35271737,0.35271737,1000.0,51.72743010520935
27,0.35271737,0.35271737,1000.0,51.448034048080444
28,0.35271737,0.35271737,1000.0,52.064873933792114
29,0.35271737,0.35271737,1000.0,50.691874265670776
30,0.35271737,0.35271737,1000.0,52.03524160385132
31,0.35271737,0.35271737,1000.0,52.61784553527832
32,0.35271737,0.35271737,1000.0,58.29934215545654
33,0.35271737,0.35271737,1000.0,51.56606340408325
34,0.35454702,0.35454702,1000.0,53.543609857559204
35,0.35684213,0.35684213,1000.0,49.30661940574646
36,0.35684213,0.35684213,1000.0,50.345653772354126
37,0.35684213,0.35684213,1000.0,50.67243051528931
38,0.35684213,0.35684213,1000.0,51.036750078201294
39,0.35684213,0.35684213,1000.0,50.13068747520447
40,0.35684213,0.35684213,1000.0,52.0222647190094
41,0.35684213,0.35684213,1000.0,54.66760301589966
42,0.35947937,0.35947937,1000.0,52.08921527862549
43,0.35947937,0.35947937,1000.0,53.85436129570007
44,0.35947937,0.35947937,1000.0,52.38731336593628
45,0.35947937,0.35947937,1000.0,53.367934465408325
46,0.35947937,0.35947937,1000.0,50.42269778251648
47,0.35947937,0.35947937,1000.0,51.645490884780884
48,0.35947937,0.35947937,1000.0,57.42462182044983
49,0.35947937,0.35947937,1000.0,54.57807970046997
50,0.35947937,0.35947937,1000.0,50.884300231933594
51,0.35947937,0.35947937,1000.0,55.52794909477234
52,0.35947937,0.35947937,1000.0,52.92390060424805
53,0.35947937,0.35947937,1000.0,49.71617841720581
54,0.35947937,0.35947937,1000.0,50.50664830207825
55,0.35947937,0.35947937,1000.0,52.66057109832764
56,0.35947937,0.35947937,1000.0,53.90853714942932
57,0.35947937,0.35947937,1000.0,54.81129431724548
58,0.35947937,0.35947937,1000.0,55.23966336250305
59,0.35947937,0.35947937,1000.0,58.99897885322571
60,0.35947937,0.35947937,1000.0,57.76416897773743
61,0.35947937,0.35947937,1000.0,59.33720374107361
62,0.35947937,0.35947937,1000.0,59.98776459693909
63,0.35947937,0.35947937,1000.0,57.81640815734863
64,0.35947937,0.35947937,1000.0,54.30598211288452
65,0.35947937,0.35947937,1000.0,54.86194944381714
66,0.35947937,0.35947937,1000.0,58.946561098098755
67,0.35947937,0.35947937,1000.0,55.84450650215149
68,0.35947937,0.35947937,1000.0,52.06161570549011
69,0.35947937,0.35947937,1000.0,57.148611307144165
70,0.35947937,0.35947937,1000.0,54.41851210594177
71,0.35947937,0.35947937,1000.0,57.60843062400818
72,0.35947937,0.35947937,1000.0,56.03134346008301
73,0.35947937,0.35947937,1000.0,52.50788617134094
74,0.35947937,0.35947937,1000.0,55.08837103843689
75,0.35947937,0.35947937,1000.0,57.75364351272583
76,0.35947937,0.35947937,1000.0,54.452770471572876
77,0.3855762,0.3855762,1000.0,53.22259211540222
78,0.3855762,0.3855762,1000.0,54.514814138412476
79,0.3855762,0.3855762,1000.0,56.94241809844971
80,0.3855762,0.3855762,1000.0,51.81743574142456
81,0.3855762,0.3855762,1000.0,53.46596574783325
82,0.3855762,0.3855762,1000.0,58.96531677246094
83,0.3855762,0.3855762,1000.0,53.987468957901
84,0.3855762,0.3855762,1000.0,58.3028199672699
85,0.3855762,0.3855762,1000.0,55.327885150909424
86,0.3855762,0.3855762,1000.0,57.5637686252594
87,0.3855762,0.3855762,1000.0,55.6999454498291
88,0.3855762,0.3855762,1000.0,54.80548071861267
89,0.3855762,0.3855762,1000.0,55.97568917274475
90,0.3855762,0.3855762,1000.0,55.13542914390564
91,0.3855762,0.3855762,1000.0,57.268067836761475
92,0.3855762,0.3855762,1000.0,52.05805039405823
93,0.3855762,0.3855762,1000.0,53.666154623031616
94,0.3855762,0.3855762,1000.0,52.32078289985657
95,0.3855762,0.3855762,1000.0,53.30093455314636
96,0.3855762,0.3855762,1000.0,53.14759802818298
97,0.3855762,0.3855762,1000.0,52.085636138916016
98,0.4456554,0.4456554,1000.0,51.23389029502869
99,0.4456554,0.4456554,1000.0,52.246565103530884
100,0.4456554,0.4456554,1000.0,52.1228928565979
101,0.4456554,0.4456554,1000.0,52.66410040855408
102,0.4456554,0.4456554,1000.0,51.16560888290405
103,0.4456554,0.4456554,1000.0,49.57362651824951
104,0.49162483,0.49162483,1000.0,50.71261501312256
105,0.49162483,0.49162483,1000.0,48.96122694015503
106,0.49162483,0.49162483,1000.0,52.05562782287598
107,0.49162483,0.49162483,1000.0,50.56824445724487
108,0.49162483,0.49162483,1000.0,51.07556128501892
109,0.49162483,0.49162483,1000.0,52.33984017372131
