generation,avg_percentage
0,0.009117003219823042
50,0.31879628682509065
100,0.1958173398549358
150,0.12036976963281631
200,0.15920247634251913
250,0.05807383048037688
300,0.10050444739560287
350,0.19569107719386616
400,0.19569107719386616
450,0.15896383921305338
500,0.05777020084982117
550,0.06067550446217259
600,0.34127314838891226
650,0.057126262690871954
700,0.06067550446217259
750,0.025495830612878006
800,0.1958173398549358
850,0.026430371838311355
900,0.023857743479311466
950,0.05754471756517887
1000,0.0940088382922113
1050,0.1453695634069542
1100,0.05977992542708913
1150,0.19569107719386616
1200,0.19569107719386616
1250,0.18870580149814487
1300,0.1822243252148231
1350,0.19556481468801698
1400,0.19569107719386616
1450,0.02419975136096279
1500,0.09956990617016952
1550,0.02023968209202091
1600,0.1444350234232843
1650,0.1453695634069542
1700,0.08610189395646255
1750,0.08610189395646255
1800,0.05812687830378612
1850,0.1001471895724535
1900,0.03920248088737329
1950,0.03873285216589769
2000,0.19569107719386616
2050,0.009986952878534794
2100,0.08610842563211918
2150,0.12734365897874036
2200,0.08895750405887763
2250,0.1453695634069542
2300,0.14560819991553822
2350,0.06004419131204486
2400,0.02419975136096279
2450,0.14251395330453911
2500,0.19569107719386616
2550,0.15920247634251913
2600,0.12212497430543105
2650,0.1822243252148231
2700,0.12835227635999522
2750,0.08610189395646255
2800,0.1447382502568265
2850,0.10141624696552753
2900,0.08610189395646255
2950,0.03956737803916136
3000,0.12638093593219915
3050,0.009748316369950771
3100,0.08610189395646255
3150,0.14549582467103997
3200,0.07363846773902576
3250,0.08610189395646255
3300,0.14734217540050545
3350,0.12625467342634997
3400,0.08610842563211918
3450,0.06630000021929543
3500,0.029800129123032093
3550,0.12625467342634997
3600,0.027342171408236027
3650,0.09956990492840607
3700,0.039793653413653374
3750,0.18201607403655848
3800,0.12625467342634997
3850,0.03956737803916136
3900,0.19569107719386616
3950,0.1453695634069542
3999,0.08610189395646255
