short_set_up	fitness_evaluation	avg_percentage_q1	avg_percentage_q3	avg_percentage_median
C-SEQ	0	0.0414705382039149	0.0555236848692099	0.04180918696026
C-SEQ	5000	0.16870987663666404	0.3424225002527237	0.20569320209324354
C-SEQ	10000	0.16092421580106012	0.3524473308352753	0.2440190076983223
C-SEQ	15000	0.32050031516700983	0.35144527132312453	0.33602745955189073
C-SEQ	20000	0.09329533887406186	0.16227093866715825	0.13991555012762547
C-SEQ	25000	0.14573511624863988	0.3095189905725419	0.1505421649975081
C-SEQ	30000	0.17929366789758203	0.32408481246481335	0.3206862385074298
C-SEQ	35000	0.12933638493996108	0.4194931897024313	0.26654530968517065
C-SEQ	40000	0.15076276101171968	0.4129435199623306	0.31334175146184856
C-SEQ	45000	0.1424212196919446	0.46435039862990374	0.3683952415982882
C-SEQ	50000	0.18579308611030376	0.3441349503894647	0.3207563155641159
C-SEQ	55000	0.09369636047631497	0.32078105603189516	0.22553074460787076
C-SEQ	60000	0.25471507556115586	0.3560534405211607	0.3391615555932124
C-SEQ	65000	0.14995619918530184	0.34236330445855856	0.23139162866088245
C-SEQ	70000	0.11152716741586718	0.3239162514607111	0.31526389135979116
C-SEQ	75000	0.08668541628867381	0.1713959773381551	0.1457173896487802
C-SEQ	80000	0.07307072697828207	0.3458132585510611	0.2003845529009898
C-SEQ	85000	0.18633700845142198	0.32327462639659643	0.31708059646189213
C-SEQ	90000	0.1424212196919446	0.30725792558708537	0.19601984508335585
C-SEQ	95000	0.2272165010993679	0.3236321608225504	0.32028004876337945
C-SEQ	100000	0.04863932371760405	0.10929596486190947	0.062134609557688195
C-SEQ	105000	0.06041398489226893	0.1927328794263303	0.0984239696214596
C-SEQ	110000	0.14260564465075729	0.21044797667612625	0.19345759041607374
C-SEQ	115000	0.13216465633983404	0.21085833587373295	0.2019169488921761
C-SEQ	120000	0.06228235938275853	0.1030416161132355	0.0706289671361446
C-SEQ	125000	0.06175023658821975	0.21730266433830056	0.1564961013694604
C-SEQ	130000	0.0600259955972433	0.17893716522182024	0.08965979857991135
C-SEQ	135000	0.09393115652104217	0.19308714165041843	0.1596937570720911
C-SEQ	140000	0.06835811010872322	0.21623193410535646	0.06955083956321076
C-SEQ	145000	0.11141398906086875	0.18651674004892507	0.13591307161065436
C-SEQ	150000	0.06801101549838975	0.18854597055663663	0.09968710007766879
C-SEQ	155000	0.15932602408186836	0.21277612137297783	0.19093123699227965
C-SEQ	160000	0.13668941659852857	0.21011263861631346	0.19321369814376033
C-SEQ	165000	0.06361881985018643	0.2174819926731288	0.16186875756829974
C-SEQ	170000	0.06864229698354993	0.20955663500353688	0.1933549412836631
C-SEQ	175000	0.0661325381758312	0.2052646667386094	0.1286923672693471
C-SEQ	180000	0.07553215076526003	0.23377109287927547	0.1680356776341796
C-SEQ	185000	0.06797506396348273	0.21572236452872554	0.15885677312811208
C-SEQ	190000	0.13269256792652107	0.20461449539288878	0.16664023045450446
C-SEQ	195000	0.07934117891515294	0.19907774939201772	0.17559427985300616
C-SEQ	200000	0.08812436958154035	0.14875557708243523	0.10282910801470274
C-SEQ	205000	0.1062996586163838	0.1562353863070408	0.13062884441266454
C-SEQ	210000	0.1275513569513956	0.18512168604259688	0.15986683499068016
C-SEQ	215000	0.10220588433245814	0.14372563532864055	0.10661610743651785
C-SEQ	220000	0.13870675954967737	0.22815264388918874	0.1748106032609939
C-SEQ	225000	0.11109313260142994	0.23297880714138347	0.2153763336439927
C-SEQ	230000	0.12264544512921317	0.23498765379190442	0.19270538197209436
C-SEQ	235000	0.11207359532515201	0.21471971645951266	0.15029238288601238
C-SEQ	240000	0.11188590666279195	0.1888778582215309	0.12880727214117843
C-SEQ	245000	0.10778052297731232	0.16848150951166949	0.15742257641007495
C-SEQ	250000	0.13492157853518918	0.2304081258674462	0.1795133280878265
C-SEQ	255000	0.14461792481597505	0.1933522149920463	0.15723318016777432
C-SEQ	260000	0.11192040952543413	0.18377429743607834	0.15076098839441934
C-SEQ	265000	0.14810307696461672	0.23584440971414242	0.1655723930646975
C-SEQ	270000	0.14444295363500712	0.27950685719649	0.21759944657484687
C-SEQ	275000	0.16173007944598788	0.2439098575462897	0.18570954383661345
C-SEQ	280000	0.1507817690338318	0.255799134572347	0.24033776965613166
C-SEQ	285000	0.12290998067085934	0.24076525370279947	0.2069975426420569
C-SEQ	290000	0.08588631699482593	0.18685715707639847	0.1319447134931882
C-SEQ	295000	0.12842060703163344	0.2561451664272075	0.1808412599687775
C-SEQ	300000	0.026837120763957424	0.05716352265638607	0.027341539816309948
C-SEQ	305000	0.06073494674637912	0.15532625191068897	0.11529380711726839
C-SEQ	310000	0.09147667031114298	0.14541238655025757	0.11620833530711625
C-SEQ	315000	0.086152465082705	0.17532196811710796	0.14482839521951968
C-SEQ	320000	0.04662837495561682	0.1682634778941671	0.08702832770844295
C-SEQ	325000	0.0816198508255183	0.19222969231971845	0.12828851367036498
C-SEQ	330000	0.08656347791353858	0.17652883954967064	0.1148107230352858
C-SEQ	335000	0.03096819804826125	0.14629087519521508	0.086747499803702
C-SEQ	340000	0.08625111356377595	0.14630874137704572	0.13347590854391456
C-SEQ	345000	0.09666448955734568	0.17631450683499367	0.145432694737489
C-SEQ	350000	0.10095527539184929	0.15955115978916484	0.15204217758340136
C-SEQ	355000	0.1321970763383433	0.1956910771938661	0.16386007494293148
C-SEQ	360000	0.08150904765352601	0.19213594259538994	0.17096708031992114
C-SEQ	365000	0.06368763834082827	0.1413705073064193	0.07948817902555065
C-SEQ	370000	0.0876801754736031	0.18311101632813606	0.12246973478856185
C-SEQ	375000	0.04477654463456322	0.15708209915707505	0.06722252420149741
C-SEQ	380000	0.03968360616515075	0.14516306439569837	0.13633051863871515
