generation,max_fitness,max_percentage,max_dead_time,eval_time
0,0.01725,0.01725,1000,21.573524475097656
1,0.06254876,0.06254876,1000,22.879865646362305
2,0.06254876,0.06254876,1000,17.425318956375122
3,0.06254876,0.06254876,1000,16.037347316741943
4,0.5628788,0.5628788,1000,16.06837296485901
5,0.5628788,0.5628788,1000,17.343915462493896
6,0.5628788,0.5628788,1000,20.14933133125305
7,0.5628788,0.5628788,1000,20.41383194923401
8,0.5628788,0.5628788,1000,19.80405879020691
9,0.5628788,0.5628788,1000,22.333054780960083
10,0.5628788,0.5628788,1000,22.603894472122192
11,0.5628788,0.5628788,1000,22.67820906639099
12,0.5628788,0.5628788,1000,20.462333917617798
13,0.5628788,0.5628788,1000,20.650168418884277
14,0.0073232325,0.0073232325,1000,16.276923894882202
15,0.0073232325,0.0073232325,1000,17.99071216583252
16,0.0073232325,0.0073232325,1000,19.6699857711792
17,0.049537875,0.049537875,1000,18.45614528656006
18,0.049537875,0.049537875,1000,21.82862615585327
19,0.049537875,0.049537875,1000,20.161701917648315
20,0.049537875,0.049537875,1000,16.411629915237427
21,0.049537875,0.049537875,1000,15.710290670394897
22,0.049537875,0.049537875,1000,16.822275161743164
23,0.049537875,0.049537875,1000,17.376204013824463
24,0.049537875,0.049537875,1000,17.263691902160645
25,0.049537875,0.049537875,1000,16.46994948387146
26,0.049537875,0.049537875,1000,17.237884521484375
27,0.376875,0.376875,1000,22.797302961349487
28,0.376875,0.376875,1000,22.882412433624268
29,0.376875,0.376875,1000,22.64528489112854
30,0.376875,0.376875,1000,23.088571548461914
31,0.376875,0.376875,1000,22.54145884513855
32,0.376875,0.376875,1000,22.891894340515137
33,0.376875,0.376875,1000,22.703820943832397
34,0.376875,0.376875,1000,22.487744331359863
35,0.37725,0.37725,1000,22.244868516921997
36,0.37725,0.37725,1000,22.6400945186615
37,0.37725,0.37725,1000,22.811329126358032
38,0.37725,0.37725,1000,22.98533582687378
39,0.37725,0.37725,1000,22.491767644882202
40,0.37725,0.37725,1000,23.124464750289917
41,0.37725,0.37725,1000,22.585830688476562
42,0.37725,0.37725,1000,22.932947874069214
43,0.37725,0.37725,1000,22.7543625831604
44,0.37725,0.37725,1000,22.472572088241577
45,0.058327466,0.058327466,1000,16.09739327430725
46,0.058327466,0.058327466,1000,17.48844599723816
47,0.061039716,0.061039716,1000,16.08563470840454
48,0.061039716,0.061039716,1000,15.641295433044434
49,0.061039716,0.061039716,1000,17.50464177131653
50,0.06254875,0.06254875,1000,16.478882789611816
51,0.06254875,0.06254875,1000,16.503943920135498
52,0.06254876,0.06254876,1000,16.99415874481201
53,0.06254876,0.06254876,1000,17.021792888641357
54,0.14945328,0.14945328,1000,15.809006929397583
55,0.14945328,0.14945328,1000,17.08530330657959
56,0.14945328,0.14945328,1000,15.427709579467773
57,0.37058082,0.37058082,1000,14.697312593460083
58,0.37058082,0.37058082,1000,16.04816436767578
59,0.37058082,0.37058082,1000,14.683956861495972
60,0.5625,0.5625,1000,17.08514142036438
61,0.5625,0.5625,1000,16.854544162750244
62,0.94633836,0.94633836,1000,18.999974012374878
63,0.94633836,0.94633836,1000,17.926437616348267
64,0.94633836,0.94633836,1000,20.49104952812195
