generation,max_fitness,max_percentage,max_dead_time,eval_time
0,0.027525252,0.027525252,1000,22.14217495918274
1,0.047348484,0.047348484,1000,23.74467372894287
2,0.047348484,0.047348484,1000,19.581854820251465
3,0.1110115,0.1110115,1000,21.22903275489807
4,0.1110115,0.1110115,1000,19.885040760040283
5,0.1110115,0.1110115,1000,20.03465723991394
6,0.11801655,0.11801655,1000,20.90691637992859
7,0.11801655,0.11801655,1000,17.76297640800476
8,0.11801655,0.11801655,1000,18.007687091827393
9,0.11801655,0.11801655,1000,18.71552276611328
10,0.11801655,0.11801655,1000,18.95235800743103
11,0.11801655,0.11801655,1000,17.559025287628174
12,0.11801655,0.11801655,1000,17.568217277526855
13,0.11801655,0.11801655,1000,19.901230573654175
14,0.11801655,0.11801655,1000,16.816373825073242
15,0.11801655,0.11801655,1000,17.93360185623169
16,0.11154964,0.11154964,1000,17.112202405929565
17,0.11154964,0.11154964,1000,17.214001417160034
18,0.11154964,0.11154964,1000,18.121119737625122
19,0.11154964,0.11154964,1000,16.569980144500732
20,0.11154964,0.11154964,1000,17.34691548347473
21,0.11154964,0.11154964,1000,14.813625812530518
22,0.11154964,0.11154964,1000,16.25708818435669
23,0.11154964,0.11154964,1000,16.958723068237305
24,0.11154964,0.11154964,1000,16.117185831069946
25,0.11154964,0.11154964,1000,17.474703311920166
26,0.027525252,0.027525252,1000,23.343083143234253
27,0.8453283,0.8453283,1000,23.093750476837158
28,0.8453283,0.8453283,1000,23.209298372268677
29,0.84570706,0.84570706,1000,23.126981735229492
30,0.84570706,0.84570706,1000,22.923885583877563
31,0.8655303,0.8655303,1000,23.02785086631775
32,0.8655303,0.8655303,1000,22.869373083114624
33,0.8655303,0.8655303,1000,23.06466293334961
34,0.8655303,0.8655303,1000,22.651211500167847
35,0.8655303,0.8655303,1000,22.89941716194153
36,0.8655303,0.8655303,1000,22.8723783493042
37,0.8659091,0.8659091,1000,23.82205629348755
38,0.8659091,0.8659091,1000,24.08163022994995
39,0.8659091,0.8659091,1000,22.847421884536743
40,0.8659091,0.8659091,1000,22.507544994354248
41,0.87563133,0.87563133,1000,23.95425510406494
42,0.87563133,0.87563133,1000,23.956449031829834
43,0.87563133,0.87563133,1000,23.729380130767822
44,0.87563133,0.87563133,1000,23.525937795639038
45,0.87563133,0.87563133,1000,23.71530294418335
46,0.87563133,0.87563133,1000,23.836554765701294
47,0.87563133,0.87563133,1000,22.597804307937622
48,0.87563133,0.87563133,1000,23.468855142593384
49,0.87563133,0.87563133,1000,23.20971989631653
