generation,max_fitness,max_percentage,max_dead_time,eval_time
0,0.01725,0.01725,1000,21.254059076309204
1,0.14873737,0.14873737,1000,21.821337699890137
2,0.14945328,0.14945328,1000,16.539584398269653
3,0.14945328,0.14945328,1000,16.20820140838623
4,0.22605944,0.22605944,1000,16.416118144989014
5,0.54267675,0.54267675,1000,16.72640895843506
6,0.54267675,0.54267675,1000,18.27720880508423
7,0.54267675,0.54267675,1000,17.831194639205933
8,0.5625,0.5625,1000,22.351099729537964
9,0.5625,0.5625,1000,19.43868851661682
10,0.5628788,0.5628788,1000,19.492702960968018
11,0.5628788,0.5628788,1000,18.44009566307068
12,0.5628788,0.5628788,1000,20.99446702003479
13,0.5628788,0.5628788,1000,19.917820692062378
14,0.5628788,0.5628788,1000,21.55365777015686
15,0.5628788,0.5628788,1000,22.712077617645264
16,0.5628788,0.5628788,1000,20.776724576950073
17,0.5628788,0.5628788,1000,20.037037134170532
18,0.5628788,0.5628788,1000,19.85046362876892
19,0.5628788,0.5628788,1000,21.09977912902832
20,0.0073232325,0.0073232325,1000,17.222698211669922
21,0.049537875,0.049537875,1000,21.224834203720093
22,0.049537875,0.049537875,1000,19.388744831085205
23,0.049537875,0.049537875,1000,22.25977373123169
24,0.049537875,0.049537875,1000,16.71358036994934
25,0.049537875,0.049537875,1000,15.142147541046143
26,0.049537875,0.049537875,1000,14.719651222229004
27,0.049837917,0.049837917,1000,15.72592282295227
28,0.049837917,0.049837917,1000,15.74342942237854
29,0.30997476,0.30997476,1000,15.872963428497314
30,0.30997476,0.30997476,1000,14.506082773208618
31,0.30997476,0.30997476,1000,16.40391731262207
32,0.30997476,0.30997476,1000,15.523247241973877
33,0.30997476,0.30997476,1000,16.17536163330078
34,0.30997476,0.30997476,1000,17.284009218215942
35,0.30997476,0.30997476,1000,17.368844032287598
36,0.30997476,0.30997476,1000,16.249195098876953
37,0.30997476,0.30997476,1000,16.693615436553955
38,0.5162162,0.5162162,1000,15.4067862033844
39,0.5162162,0.5162162,1000,16.109524250030518
40,0.5162162,0.5162162,1000,15.714679479598999
41,0.5162162,0.5162162,1000,16.53145718574524
42,0.5162162,0.5162162,1000,16.313464879989624
43,0.5162162,0.5162162,1000,15.798379182815552
44,0.5162162,0.5162162,1000,16.72853136062622
45,0.5162162,0.5162162,1000,15.617961406707764
46,0.5162162,0.5162162,1000,15.779430627822876
47,0.5162162,0.5162162,1000,16.877665042877197
48,0.116875,0.116875,1000,22.487168788909912
49,0.37725,0.37725,1000,22.6963951587677
50,0.37725,0.37725,1000,23.067689657211304
51,0.37725,0.37725,1000,22.0998957157135
52,0.37725,0.37725,1000,22.59637999534607
53,0.37725,0.37725,1000,22.676719665527344
54,0.37725,0.37725,1000,22.519331455230713
55,0.37725,0.37725,1000,22.61800718307495
56,0.37725,0.37725,1000,22.01325511932373
57,0.37725,0.37725,1000,22.571553230285645
58,0.37725,0.37725,1000,22.990683555603027
59,0.06254876,0.06254876,1000,16.878201007843018
60,0.14945328,0.14945328,1000,15.626890420913696
61,0.1553091,0.1553091,1000,15.615711688995361
62,0.5625,0.5625,1000,16.251219987869263
63,0.5625,0.5625,1000,15.713776588439941
64,0.5625,0.5625,1000,15.104995727539062
65,0.5625,0.5625,1000,17.8103928565979
66,0.5625,0.5625,1000,19.8022677898407
67,0.5625,0.5625,1000,19.58559823036194
68,0.5628788,0.5628788,1000,22.945090770721436
69,0.5628788,0.5628788,1000,23.001344680786133
70,0.5628788,0.5628788,1000,22.229849338531494
71,0.5628788,0.5628788,1000,21.068756341934204
72,0.5628788,0.5628788,1000,20.88771080970764
73,0.5628788,0.5628788,1000,22.075722455978394
74,0.5628788,0.5628788,1000,20.17123579978943
75,0.5628788,0.5628788,1000,21.45862579345703
76,0.5628788,0.5628788,1000,19.950255393981934
77,0.5628788,0.5628788,1000,21.073768615722656
78,0.052367356,0.052367356,1000,18.306199073791504
79,0.052367356,0.052367356,1000,21.00052762031555
80,0.052367356,0.052367356,1000,20.581408500671387
81,0.052367356,0.052367356,1000,19.25722575187683
