generation,max_fitness,max_percentage,max_dead_time,eval_time
0,0.041636407,0.041636407,1000.0,67.28751134872437
1,0.33337402,0.33337402,1000.0,62.39470863342285
2,0.33337402,0.33337402,1000.0,55.66911172866821
3,0.33337402,0.33337402,1000.0,54.00383496284485
4,0.33337402,0.33337402,1000.0,53.017256021499634
5,0.33337402,0.33337402,1000.0,54.734193325042725
6,0.33337402,0.33337402,1000.0,53.30098032951355
7,0.33337402,0.33337402,1000.0,55.17372131347656
8,0.33914185,0.33914185,1000.0,55.25257873535156
9,0.33914185,0.33914185,1000.0,53.73411250114441
10,0.33914185,0.33914185,1000.0,55.32242679595947
11,0.33914185,0.33914185,1000.0,52.00426530838013
12,0.33914185,0.33914185,1000.0,54.04039716720581
13,0.33914185,0.33914185,1000.0,53.81704306602478
14,0.33914185,0.33914185,1000.0,54.34157466888428
15,0.33914185,0.33914185,1000.0,51.53565573692322
16,0.33914185,0.33914185,1000.0,53.38104796409607
17,0.33914185,0.33914185,1000.0,52.6917290687561
18,0.33914185,0.33914185,1000.0,54.40259552001953
19,0.33914185,0.33914185,1000.0,52.3475558757782
20,0.33914185,0.33914185,1000.0,52.01507759094238
21,0.33914185,0.33914185,1000.0,53.41724991798401
22,0.33914185,0.33914185,1000.0,54.600647926330566
23,0.33914185,0.33914185,1000.0,55.8122456073761
24,0.33914185,0.33914185,1000.0,51.57940173149109
25,0.33914185,0.33914185,1000.0,51.91968107223511
26,0.33914185,0.33914185,1000.0,55.8465301990509
27,0.34569573,0.34569573,1000.0,55.58890914916992
28,0.34569573,0.34569573,1000.0,54.18706774711609
29,0.34569573,0.34569573,1000.0,51.62814235687256
30,0.34569573,0.34569573,1000.0,53.83973979949951
31,0.34569573,0.34569573,1000.0,52.172046184539795
32,0.34569573,0.34569573,1000.0,52.79456853866577
33,0.34569573,0.34569573,1000.0,51.20507621765137
34,0.34569573,0.34569573,1000.0,52.50704026222229
35,0.34569573,0.34569573,1000.0,52.074928998947144
36,0.34569573,0.34569573,1000.0,50.73089623451233
37,0.34569573,0.34569573,1000.0,52.8407461643219
38,0.34569573,0.34569573,1000.0,51.111971616744995
39,0.34569573,0.34569573,1000.0,52.250154972076416
40,0.34569573,0.34569573,1000.0,52.85088038444519
41,0.34722483,0.34722483,1000.0,52.65339660644531
42,0.34722483,0.34722483,1000.0,54.33133554458618
43,0.34722483,0.34722483,1000.0,50.509443044662476
44,0.37347484,0.37347484,1000.0,51.836889028549194
45,0.37347484,0.37347484,1000.0,50.91311264038086
46,0.37347484,0.37347484,1000.0,50.845290184020996
47,0.37347484,0.37347484,1000.0,52.38861012458801
48,0.37347484,0.37347484,1000.0,52.17605805397034
49,0.431609,0.431609,1000.0,50.12368059158325
50,0.431609,0.431609,1000.0,53.96239447593689
51,0.431609,0.431609,1000.0,54.08963751792908
