generation,avg_percentage
0,0.3205808103084564
50,0.07610399462282658
100,0.14811735786497593
150,0.1495652200343708
200,0.3129629686785241
250,0.05937765724956989
300,0.17878392354274789
350,0.21721246528128782
400,0.3283498481226464
450,0.06404586213951309
500,0.30271191087861854
550,0.34905800099174183
600,0.14943040426199636
650,0.35443491612871486
700,0.48292554294069606
750,0.35191534583767253
800,0.1404616106301546
850,0.05826907061661283
900,0.04147053820391496
950,0.08945096842944622
1000,0.19352229498326778
1050,0.14893185533583164
1100,0.17700291192159057
1150,0.11907319910824299
1200,0.19301242319246134
1250,0.21925779866675535
1300,0.06804166982571284
1350,0.1937271822243929
1400,0.1084579744686683
1450,0.09977223475774129
1500,0.1933489510168632
1550,0.19404370275636515
1600,0.06466864049434662
1650,0.2108833392461141
1700,0.2268237049380938
1750,0.22715193095306555
1800,0.21043231586615244
1850,0.0685328288624684
1900,0.07093917826811473
1950,0.21030605336030325
2000,0.08775252662599087
2050,0.10119849443435669
2100,0.13961063651368022
2150,0.38732831676801044
2200,0.2090005911886692
2250,0.3877945939699809
2300,0.3877945939699809
2350,0.21781494546060762
2400,0.2357731219381094
2450,0.17293215356767178
2500,0.17199994685749212
2550,0.12547355455656847
2600,0.18938005715608597
2650,0.2864057223002116
2700,0.2867845147848129
2750,0.08262720207373302
2800,0.19118954737981161
2850,0.1317760900904735
2900,0.10207797835270564
2950,0.24688367545604706
3000,0.057645201217383146
3050,0.029044179245829582
3100,0.14998045455043515
3150,0.08667917735874653
3200,0.1453695634069542
3250,0.04081018455326557
3300,0.117475101724267
3350,0.04106405936181545
3400,0.039667392149567604
3450,0.1457268187465767
3500,0.03476967693616947
3550,0.18883206400399408
3600,0.19569107719386616
3650,0.05980549209440748
3700,0.18025298478702703
3750,0.1487894047362109
3800,0.1478117972922822
3850,0.023581229305515688
3900,0.03920248088737329
3950,0.09989466580251853
3999,0.03826794090370337
