generation,avg_percentage
0,0.024766198359429836
50,0.07141491289560993
100,0.34824392075339955
150,0.041017249381790556
200,0.3269360326230526
250,0.13213081983849406
300,0.3129629686785241
350,0.09105008157591025
400,0.06563439033925533
450,0.35590160513917607
500,0.06775912704567115
550,0.1942348498851061
600,0.08441611317296822
650,0.11039868804315726
700,0.3520374186336994
750,0.13938376493752003
800,0.350784449527661
850,0.05464317463338375
900,0.4355543504158656
950,0.4888910601536433
1000,0.04967279313132167
1050,0.13558284689982733
1100,0.06751790766914685
1150,0.19286591497560343
1200,0.05385913156593839
1250,0.2503291927278042
1300,0.18978414994974932
1350,0.07050612568855286
1400,0.19350648609300455
1450,0.19366884914537272
1500,0.04580554117759069
1550,0.19252741585175195
1600,0.1256054863333702
1650,0.062100772435466446
1700,0.11618275195360184
1750,0.1939548123627901
1800,0.04333809406186143
1850,0.06052985725303491
1900,0.19294431495169798
1950,0.07009734958410263
2000,0.09805600655575593
2050,0.13836033642292023
2100,0.19924241863191128
2150,0.06718000234104693
2200,0.12861593874792257
2250,0.10371747364600499
2300,0.2454156285772721
2350,0.3569551060597102
2400,0.20651826759179434
2450,0.10143138468265533
2500,0.16108338038126627
2550,0.07328743301331997
2600,0.10882385075092316
2650,0.20939906438191733
2700,0.2093434234460195
2750,0.20330832401911417
2800,0.16336765388647714
2850,0.3978896588087082
2900,0.392903337876002
2950,0.09525037882849574
3000,0.08240101781363289
3050,0.07241081446409225
3100,0.14734217540050545
3150,0.08234879436592261
3200,0.08275283810993035
3250,0.1452445724668602
3300,0.14524330090110502
3350,0.02416096891586979
3400,0.025369567951808374
3450,0.1452445724668602
3500,0.14582058554515243
3550,0.03476967693616947
3600,0.19556481468801698
3650,0.08690297494952877
3700,0.12835227635999522
3750,0.1888308011305829
3800,0.08794822978476684
3850,0.05310481103758017
3900,0.1958173398549358
3950,0.14630410463238755
3999,0.07306983197728793
