generation,max_fitness,max_percentage,max_dead_time,eval_time
0,0.3176772,0.3176772,1000.0,66.61287236213684
1,0.31777722,0.31777722,1000.0,64.25125098228455
2,0.3210581,0.3210581,1000.0,60.63640093803406
3,0.3210581,0.3210581,1000.0,55.47458243370056
4,0.3238077,0.3238077,1000.0,55.12774467468262
5,0.3238077,0.3238077,1000.0,54.36746573448181
6,0.32418644,0.32418644,1000.0,56.831587076187134
7,0.32429886,0.32429886,1000.0,55.49188041687012
8,0.32656333,0.32656333,1000.0,56.423205614089966
9,0.32656333,0.32656333,1000.0,56.53873634338379
10,0.32656333,0.32656333,1000.0,57.596171379089355
11,0.33622333,0.33622333,1000.0,55.45977997779846
12,0.33622333,0.33622333,1000.0,55.86226773262024
13,0.33622333,0.33622333,1000.0,56.08959150314331
14,0.33622333,0.33622333,1000.0,59.70016264915466
15,0.33622333,0.33622333,1000.0,58.86305046081543
16,0.3442831,0.3442831,1000.0,58.95383310317993
17,0.35326552,0.35326552,1000.0,57.03628706932068
18,0.35326552,0.35326552,1000.0,55.592703104019165
19,0.35326552,0.35326552,1000.0,57.765740394592285
20,0.35326552,0.35326552,1000.0,58.46511387825012
21,0.35326552,0.35326552,1000.0,56.80228590965271
22,0.35326552,0.35326552,1000.0,55.47824573516846
23,0.35326552,0.35326552,1000.0,53.69088530540466
24,0.35326552,0.35326552,1000.0,57.03033256530762
25,0.35326552,0.35326552,1000.0,56.46877121925354
26,0.35326552,0.35326552,1000.0,56.91883444786072
27,0.35326552,0.35326552,1000.0,58.59841704368591
28,0.35326552,0.35326552,1000.0,57.273369789123535
29,0.35326552,0.35326552,1000.0,57.019864320755005
30,0.35326552,0.35326552,1000.0,58.334866523742676
31,0.35326552,0.35326552,1000.0,62.21566939353943
32,0.35326552,0.35326552,1000.0,58.16735005378723
33,0.35326552,0.35326552,1000.0,57.922585248947144
34,0.35326552,0.35326552,1000.0,61.07484412193298
35,0.35326552,0.35326552,1000.0,55.61982774734497
36,0.35326552,0.35326552,1000.0,62.723233699798584
37,0.35326552,0.35326552,1000.0,63.57481598854065
38,0.35326552,0.35326552,1000.0,67.1743266582489
39,0.35326552,0.35326552,1000.0,59.60039138793945
40,0.3536932,0.3536932,1000.0,58.69994020462036
41,0.3536932,0.3536932,1000.0,58.576529026031494
42,0.3536932,0.3536932,1000.0,59.87221384048462
43,0.3536932,0.3536932,1000.0,57.706998348236084
44,0.35384282,0.35384282,1000.0,58.04535388946533
45,0.35384282,0.35384282,1000.0,64.14021706581116
46,0.35384282,0.35384282,1000.0,57.97614789009094
47,0.35384282,0.35384282,1000.0,62.76421141624451
48,0.35384282,0.35384282,1000.0,64.63237309455872
49,0.35384282,0.35384282,1000.0,62.33282017707825
50,0.35384282,0.35384282,1000.0,57.68179106712341
51,0.35384282,0.35384282,1000.0,57.90851378440857
